sample_id,group
GSM1551311,Normal
GSM1551312,Normal
GSM1551313,Normal
GSM1551314,Normal
GSM1551315,Normal
GSM1551316,Normal
GSM1551317,Normal
GSM1551318,Normal
GSM1551319,Normal
GSM1551320,Normal
GSM1551321,Normal
GSM1551322,Normal
GSM1551323,Normal
GSM1551324,Normal
GSM1551325,Normal
GSM1551326,Normal
GSM1551327,Normal
GSM1551328,Normal
GSM1551329,Normal
GSM1551330,Normal
GSM1551331,Normal
GSM1551332,Normal
GSM1551333,Normal
GSM1551334,Normal
GSM1551335,CIN1
GSM1551336,CIN1
GSM1551337,CIN1
GSM1551338,CIN1
GSM1551339,CIN1
GSM1551340,CIN1
GSM1551341,CIN1
GSM1551342,CIN1
GSM1551343,CIN1
GSM1551344,CIN1
GSM1551345,CIN1
GSM1551346,CIN1
GSM1551347,CIN1
GSM1551348,CIN1
GSM1551349,CIN2
GSM1551350,CIN2
GSM1551351,CIN2
GSM1551352,CIN2
GSM1551353,CIN2
GSM1551354,CIN2
GSM1551355,CIN2
GSM1551356,CIN2
GSM1551357,CIN2
GSM1551358,CIN2
GSM1551359,CIN2
GSM1551360,CIN2
GSM1551361,CIN2
GSM1551362,CIN2
GSM1551363,CIN2
GSM1551364,CIN2
GSM1551365,CIN2
GSM1551366,CIN2
GSM1551367,CIN2
GSM1551368,CIN2
GSM1551369,CIN2
GSM1551370,CIN2
GSM1551371,CIN3
GSM1551372,CIN3
GSM1551373,CIN3
GSM1551374,CIN3
GSM1551375,CIN3
GSM1551376,CIN3
GSM1551377,CIN3
GSM1551378,CIN3
GSM1551379,CIN3
GSM1551380,CIN3
GSM1551381,CIN3
GSM1551382,CIN3
GSM1551383,CIN3
GSM1551384,CIN3
GSM1551385,CIN3
GSM1551386,CIN3
GSM1551387,CIN3
GSM1551388,CIN3
GSM1551389,CIN3
GSM1551390,CIN3
GSM1551391,CIN3
GSM1551392,CIN3
GSM1551393,CIN3
GSM1551394,CIN3
GSM1551395,CIN3
GSM1551396,CIN3
GSM1551397,CIN3
GSM1551398,CIN3
GSM1551399,CIN3
GSM1551400,CIN3
GSM1551401,CIN3
GSM1551402,CIN3
GSM1551403,CIN3
GSM1551404,CIN3
GSM1551405,CIN3
GSM1551406,CIN3
GSM1551407,CIN3
GSM1551408,CIN3
GSM1551409,CIN3
GSM1551410,CIN3
GSM1551411,Cancer
GSM1551412,Cancer
GSM1551413,Cancer
GSM1551414,Cancer
GSM1551415,Cancer
GSM1551416,Cancer
GSM1551417,Cancer
GSM1551418,Cancer
GSM1551419,Cancer
GSM1551420,Cancer
GSM1551421,Cancer
GSM1551422,Cancer
GSM1551423,Cancer
GSM1551424,Cancer
GSM1551425,Cancer
GSM1551426,Cancer
GSM1551427,Cancer
GSM1551428,Cancer
GSM1551429,Cancer
GSM1551430,Cancer
GSM1551431,Cancer
GSM1551432,Cancer
GSM1551433,Cancer
GSM1551434,Cancer
GSM1551435,Cancer
GSM1551436,Cancer
GSM1551437,Cancer
GSM1551438,Cancer
